exp,dte,strike,ask,cost,n@budget,BE,2x,5x,need%,sigma,delta,oi,p_BE,p_BE_d,p_touch
2027-03-19,225,750.0,45.8,4580,87,795.8,841.6,979.0,11.0,0.61,0.491,3407,13.4,54.8,27.4
2027-02-19,197,750.0,40.26,4026,99,790.26,830.52,951.3,10.2,0.61,0.475,1012,12.7,47.7,31.1
2027-01-15,162,750.0,33.55,3355,119,783.55,817.1,917.75,9.3,0.61,0.452,6768,16.8,49.5,33.5
2026-08-28,22,750.0,3.14,314,1273,753.14,756.28,765.7,5.0,0.92,0.178,1903,11.9,15.6,16.4
2026-12-31,147,750.0,30.52,3052,131,780.52,811.04,902.6,8.9,0.62,0.44,1071,18.5,51.6,36.1
2028-06-16,680,750.0,109.5,10950,36,859.5,969.0,1297.5,19.9,0.61,0.606,810,,,
2026-08-31,25,750.0,3.54,354,1129,753.54,757.08,767.7,5.1,0.87,0.19,3098,12.8,16.7,17.1
2027-09-17,407,750.0,75.79,7579,52,825.79,901.58,1128.95,15.2,0.62,0.554,554,21.1,87.8,27.7
2026-08-14,8,750.0,0.31,31,12903,750.31,750.62,751.55,4.6,1.38,0.041,2927,7.6,8.8,8.0
2026-08-10,4,750.0,0.03,3,133333,750.03,750.06,750.15,4.6,1.94,0.006,2235,2.2,2.2,2.2
2026-12-18,134,750.0,28.26,2826,141,778.26,806.52,891.3,8.5,0.62,0.432,11944,22.1,51.2,34.8
2026-08-31,25,754.0,2.85,285,1403,756.85,759.7,768.25,5.6,0.95,0.16,1074,11.7,14.8,15.0
2027-03-31,237,755.0,45.71,4571,87,800.71,846.42,983.55,11.7,0.63,0.48,1488,12.5,57.3,24.8
2027-03-19,225,755.0,43.53,4353,91,798.53,842.06,972.65,11.4,0.63,0.476,2689,13.4,51.6,25.7
2026-08-11,5,755.0,0.03,3,133333,755.03,755.06,755.15,5.3,1.93,0.006,1040,1.6,2.2,2.0
2026-08-21,15,755.0,0.88,88,4545,755.88,756.76,759.4,5.4,1.19,0.077,7226,8.7,10.1,11.0
2027-06-17,315,755.0,58.81,5881,68,813.81,872.62,1049.05,13.5,0.63,0.516,4774,6.1,97.8,28.0
2026-08-10,4,755.0,0.03,3,133333,755.03,755.06,755.15,5.3,2.23,0.004,635,1.2,1.6,1.4
2026-09-04,29,755.0,3.87,387,1033,758.87,762.74,774.35,5.8,0.92,0.186,634,12.8,15.5,15.5
2026-10-16,71,755.0,12.78,1278,312,767.78,780.56,818.9,7.1,0.71,0.32,1664,18.5,39.1,25.8
2026-08-14,8,755.0,0.18,18,22222,755.18,755.36,755.9,5.3,1.58,0.025,971,4.8,6.0,5.4
2027-01-15,162,755.0,31.44,3144,127,786.44,817.88,912.2,9.7,0.64,0.433,1796,15.7,48.5,32.7
2026-09-30,55,755.0,9.01,901,443,764.01,773.02,800.05,6.6,0.76,0.277,528,14.6,29.2,20.4
2027-12-17,498,755.0,85.5,8550,46,840.5,926.0,1182.5,17.2,0.63,0.565,1630,0.0,95.9,0.7
2026-08-13,7,755.0,0.11,11,36363,755.11,755.22,755.55,5.3,1.73,0.016,1513,3.4,4.0,3.6
2026-08-28,22,755.0,2.35,235,1702,757.35,759.7,766.75,5.6,1.02,0.142,1183,10.9,13.7,13.7
2026-09-18,43,755.0,6.8,680,588,761.8,768.6,789.0,6.2,0.81,0.246,12659,14.6,23.3,18.0
2026-12-31,147,755.0,28.53,2853,140,783.53,812.06,897.65,9.3,0.65,0.42,1138,16.3,49.4,32.6
2026-12-18,134,755.0,26.2,2620,152,781.2,807.4,886.0,9.0,0.65,0.412,4009,20.3,48.8,32.1
2026-08-12,6,755.0,0.05,5,80000,755.05,755.1,755.25,5.3,1.93,0.009,593,1.6,2.2,2.0
2026-08-31,25,755.0,2.7,270,1481,757.7,760.4,768.5,5.7,0.97,0.153,733,11.5,14.8,14.2
2026-08-10,4,760.0,0.03,3,133333,760.03,760.06,760.15,6.0,2.51,0.003,1033,0.8,1.2,1.0
2027-03-31,237,760.0,42.93,4293,93,802.93,845.86,974.65,12.0,0.65,0.466,588,11.9,56.4,23.6
2027-12-17,498,760.0,83.07,8307,48,843.07,926.14,1175.35,17.6,0.64,0.556,823,0.0,95.3,0.0
2026-12-18,134,760.0,24.23,2423,165,784.23,808.46,881.15,9.4,0.68,0.392,15736,19.4,47.1,29.2
2027-02-19,197,760.0,35.88,3588,111,795.88,831.76,939.4,11.0,0.66,0.443,1657,11.6,45.2,27.3
2028-01-21,533,760.0,87.0,8700,45,847.0,934.0,1195.0,18.1,0.64,0.561,848,0.0,99.2,0.0
2027-03-19,225,760.0,41.33,4133,96,801.33,842.66,966.65,11.8,0.65,0.462,4441,13.4,50.4,23.9
2026-08-11,5,760.0,0.03,3,133333,760.03,760.06,760.15,6.0,2.17,0.004,636,0.8,1.4,1.2
2026-11-20,106,760.0,18.81,1881,212,778.81,797.62,854.05,8.6,0.71,0.358,1200,21.5,45.3,27.1
2027-09-17,407,760.0,70.96,7096,56,830.96,901.92,1114.8,15.9,0.65,0.533,619,21.1,85.0,25.8
2027-01-15,162,760.0,29.39,2939,136,789.39,818.78,906.95,10.1,0.67,0.415,4528,14.4,46.1,32.0
2026-10-16,71,760.0,11.26,1126,355,771.26,782.52,816.3,7.6,0.76,0.293,4170,16.1,34.7,22.7
2026-12-31,147,760.0,26.45,2645,151,786.45,812.9,892.25,9.7,0.67,0.401,814,14.8,47.4,30.3
2026-09-30,55,760.0,7.73,773,517,767.73,775.46,798.65,7.1,0.82,0.247,850,14.0,26.7,18.5
2028-06-16,680,760.0,104.5,10450,38,864.5,969.0,1282.5,20.6,0.63,0.591,560,,,
2027-06-17,315,760.0,56.49,5649,70,816.49,872.98,1042.45,13.9,0.65,0.503,4817,5.0,96.8,24.0
2026-08-31,25,760.0,2.04,204,1960,762.04,764.08,770.2,6.3,1.07,0.122,7053,9.7,13.0,12.8
2026-08-28,22,760.0,1.74,174,2298,761.74,763.48,768.7,6.2,1.13,0.112,18798,9.8,11.9,12.7
2026-08-14,8,760.0,0.12,12,33333,760.12,760.24,760.6,6.0,1.78,0.016,2760,3.0,4.0,3.0
2026-09-18,43,760.0,5.65,565,707,765.65,771.3,788.25,6.8,0.88,0.215,12937,13.1,19.7,16.5
2026-08-21,15,760.0,0.58,58,6896,760.58,761.16,762.9,6.1,1.33,0.054,19094,6.7,8.9,9.5
2026-09-11,36,760.0,4.16,416,961,764.16,768.32,780.8,6.6,0.93,0.183,519,12.1,16.9,15.3
2027-03-19,225,765.0,39.2,3920,102,804.2,843.4,961.0,12.2,0.67,0.447,2903,12.8,49.0,21.9
2026-12-31,147,765.0,24.65,2465,162,789.65,814.3,888.25,10.1,0.7,0.382,2120,14.0,45.9,29.3
2026-08-28,22,765.0,1.28,128,3125,766.28,767.56,771.4,6.9,1.24,0.087,908,8.0,10.7,10.0
2027-01-15,162,765.0,27.38,2738,146,792.38,819.76,901.9,10.5,0.69,0.397,4191,13.4,45.1,31.2
2026-12-18,134,765.0,22.4,2240,178,787.4,809.8,877.0,9.8,0.71,0.372,4157,17.2,45.3,27.2
2026-10-16,71,765.0,9.9,990,404,774.9,784.8,814.5,8.1,0.81,0.267,4765,15.0,29.4,20.3
2027-06-17,315,765.0,54.24,5424,73,819.24,873.48,1036.2,14.3,0.66,0.491,6512,4.3,95.7,21.1
2027-09-17,407,765.0,68.63,6863,58,833.63,902.26,1108.15,16.3,0.66,0.522,2631,20.7,84.0,25.8
2028-06-16,680,765.0,102.0,10200,39,867.0,969.0,1275.0,20.9,0.64,0.583,981,,,
2026-09-18,43,765.0,4.68,468,854,769.68,774.36,788.4,7.3,0.95,0.186,8278,11.4,16.9,15.0
2026-08-21,15,765.0,0.39,39,10256,765.39,765.78,766.95,6.7,1.47,0.038,5587,5.1,7.1,6.5
2026-08-14,8,765.0,0.09,9,44444,765.09,765.18,765.45,6.7,1.98,0.011,2781,1.4,1.6,1.8
2027-06-17,315,770.0,52.05,5205,76,822.05,874.1,1030.25,14.7,0.68,0.479,6567,3.6,94.6,20.1
2026-08-31,25,770.0,1.13,113,3539,771.13,772.26,775.65,7.5,1.28,0.075,14649,7.4,9.7,9.7
2027-09-17,407,770.0,66.35,6635,60,836.35,902.7,1101.75,16.6,0.67,0.512,1497,20.7,83.6,25.8
2026-09-18,43,770.0,3.86,386,1036,773.86,777.72,789.3,7.9,1.02,0.16,7653,10.6,15.0,14.0
2026-12-31,147,770.0,22.77,2277,175,792.77,815.54,883.85,10.6,0.73,0.363,774,12.3,44.1,28.6
2026-12-18,134,770.0,20.64,2064,193,790.64,811.28,873.2,10.3,0.74,0.352,8807,14.2,42.6,25.7
2026-08-28,22,770.0,0.95,95,4210,770.95,771.9,774.75,7.5,1.35,0.067,1006,6.6,9.8,8.6
2026-08-14,8,770.0,0.07,7,57142,770.07,770.14,770.35,7.4,2.18,0.008,669,1.0,1.4,1.4
2026-11-20,106,770.0,15.54,1554,257,785.54,801.08,847.7,9.6,0.78,0.314,1398,18.9,40.9,21.5
2028-12-15,862,770.0,120.5,12050,33,890.5,1011.0,1372.5,24.2,0.65,0.606,589,,,
2027-01-15,162,770.0,25.44,2544,157,795.44,820.88,897.2,10.9,0.72,0.379,4810,11.6,43.0,28.9
2026-08-21,15,770.0,0.28,28,14285,770.28,770.56,771.4,7.4,1.61,0.028,14656,4.7,5.1,5.3
2026-10-16,71,770.0,8.67,867,461,778.67,787.34,813.35,8.6,0.86,0.242,3647,14.6,27.4,19.0
2027-03-19,225,770.0,37.15,3715,107,807.15,844.3,955.75,12.6,0.7,0.432,3799,11.7,47.5,18.7
2027-12-17,498,770.0,78.37,7837,51,848.37,926.74,1161.85,18.3,0.67,0.537,2703,0.0,93.2,0.0
2026-09-30,55,770.0,5.61,561,713,775.61,781.22,798.05,8.2,0.94,0.194,1027,12.3,20.9,15.7
2026-08-31,25,772.0,1.01,101,3960,773.01,774.02,777.05,7.8,1.32,0.068,518,7.2,9.5,9.3
2026-12-18,134,775.0,19.01,1901,210,794.01,813.02,870.05,10.7,0.78,0.333,12395,12.0,40.9,23.5
2026-10-16,71,775.0,7.57,757,528,782.57,790.14,812.85,9.1,0.91,0.219,4982,14.6,24.1,17.7
2027-09-17,407,775.0,64.12,6412,62,839.12,903.24,1095.6,17.0,0.69,0.501,1112,20.7,80.8,25.8
2027-12-17,498,775.0,76.08,7608,52,851.08,927.16,1155.4,18.7,0.68,0.528,2749,0.0,93.2,0.0
2026-11-20,106,775.0,14.11,1411,283,789.11,803.22,845.55,10.1,0.82,0.293,585,17.3,37.9,20.3
2028-06-16,680,775.0,97.5,9750,41,872.5,970.0,1262.5,21.7,0.66,0.568,837,,,
2026-12-31,147,775.0,21.1,2110,189,796.1,817.2,880.5,11.0,0.76,0.345,875,10.5,42.9,25.6
2026-08-28,22,775.0,0.71,71,5633,775.71,776.42,778.55,8.2,1.47,0.052,1458,5.9,7.4,7.6
2026-08-14,8,775.0,0.06,6,66666,775.06,775.12,775.3,8.1,2.37,0.006,1232,0.4,0.6,1.0
2026-09-18,43,775.0,3.18,318,1257,778.18,781.36,790.9,8.5,1.1,0.137,8375,8.9,14.4,12.1
2026-09-30,55,775.0,4.75,475,842,779.75,784.5,798.75,8.8,1.0,0.171,806,11.8,17.6,14.4
2026-08-21,15,775.0,0.2,20,20000,775.2,775.4,776.0,8.1,1.76,0.021,6583,2.6,4.7,3.4
2027-01-15,162,775.0,23.76,2376,168,798.76,822.52,893.8,11.4,0.75,0.361,2783,10.8,41.8,26.0
2027-03-19,225,775.0,35.18,3518,113,810.18,845.36,950.9,13.0,0.72,0.417,2845,10.5,45.2,17.5
2026-08-31,25,775.0,0.86,86,4651,775.86,776.72,779.3,8.2,1.39,0.059,970,6.6,8.8,8.6
2027-06-17,315,775.0,49.91,4991,80,824.91,874.82,1024.55,15.1,0.7,0.467,4308,2.9,92.8,18.3
2026-08-28,22,780.0,0.53,53,7547,780.53,781.06,782.65,8.9,1.58,0.04,1333,4.1,6.6,4.9
2026-08-14,8,780.0,0.05,5,80000,780.05,780.1,780.25,8.8,2.57,0.005,906,0.2,0.2,0.8
2027-03-31,237,780.0,34.8,3480,114,814.8,849.6,954.0,13.6,0.73,0.408,848,8.7,44.8,16.1
2026-08-21,15,780.0,0.16,16,25000,780.16,780.32,780.8,8.8,1.9,0.016,11675,2.0,3.0,3.2
2026-11-20,106,780.0,12.77,1277,313,792.77,805.54,843.85,10.6,0.86,0.273,1158,15.9,35.0,19.4
2027-03-19,225,780.0,33.3,3330,120,813.3,846.6,946.5,13.4,0.74,0.402,2480,9.3,44.3,16.3
2027-06-17,315,780.0,47.84,4784,83,827.84,875.68,1019.2,15.5,0.72,0.455,12332,2.2,90.0,16.5
2027-01-15,162,780.0,22.1,2210,180,802.1,824.2,890.5,11.9,0.78,0.344,6527,9.3,40.2,21.9
2026-09-04,29,780.0,1.12,112,3571,781.12,782.24,785.6,8.9,1.39,0.067,1304,6.6,9.3,8.9
2026-12-31,147,780.0,19.38,1938,206,799.38,818.76,876.9,11.5,0.79,0.327,1659,10.3,40.9,23.1
2026-12-18,134,780.0,17.48,1748,228,797.48,814.96,867.4,11.2,0.81,0.314,17604,10.3,39.0,21.3
2026-08-31,25,780.0,0.65,65,6153,780.65,781.3,783.25,8.9,1.5,0.046,2558,5.3,7.2,6.6
2027-12-17,498,780.0,73.85,7385,54,853.85,927.7,1149.25,19.1,0.69,0.519,1313,0.0,91.9,0.0
2026-09-18,43,780.0,2.6,260,1538,782.6,785.2,793.0,9.1,1.17,0.116,8072,8.7,12.7,11.2
2027-09-17,407,780.0,61.81,6181,64,841.81,903.62,1089.05,17.4,0.7,0.491,1560,20.7,78.9,25.8
2026-09-30,55,780.0,4.01,401,997,784.01,788.02,800.05,9.3,1.07,0.149,679,10.3,14.8,13.8
2026-10-16,71,780.0,6.59,659,606,786.59,793.18,812.95,9.7,0.97,0.197,1759,13.7,21.6,16.8
2026-12-18,134,785.0,16.07,1607,248,801.07,817.14,865.35,11.7,0.84,0.296,1416,9.3,38.7,19.9
2026-10-16,71,785.0,5.73,573,698,790.73,796.46,813.65,10.3,1.02,0.177,2223,13.5,19.9,15.9
2027-01-15,162,785.0,20.52,2052,194,805.52,826.04,887.6,12.3,0.81,0.327,2203,8.8,38.4,17.3
2027-06-17,315,785.0,45.84,4584,87,830.84,876.68,1014.2,15.9,0.73,0.443,1366,2.2,87.1,15.1
2026-08-21,15,785.0,0.13,13,30769,785.13,785.26,785.65,9.5,2.04,0.013,16096,1.4,2.0,2.0
2026-08-31,25,785.0,0.51,51,7843,785.51,786.02,787.55,9.6,1.6,0.036,519,4.3,6.6,5.1
2027-03-19,225,785.0,31.49,3149,127,816.49,847.98,942.45,13.9,0.76,0.388,1456,8.7,42.3,15.5
2027-09-17,407,785.0,59.83,5983,66,844.83,904.66,1084.15,17.8,0.72,0.48,1135,20.2,77.9,25.8
2026-09-30,55,785.0,3.38,338,1183,788.38,791.76,801.9,10.0,1.13,0.13,1148,9.5,14.0,12.7
2026-08-28,22,785.0,0.41,41,9756,785.41,785.82,787.05,9.5,1.7,0.032,565,3.3,5.3,3.5
2026-09-18,43,785.0,2.13,213,1877,787.13,789.26,795.65,9.8,1.25,0.099,2779,8.5,11.2,9.9
2026-12-31,147,785.0,18.02,1802,221,803.02,821.04,875.1,12.0,0.83,0.309,796,9.5,39.6,19.0
2026-12-18,134,790.0,14.73,1473,271,804.73,819.46,863.65,12.2,0.88,0.278,7755,7.1,37.7,16.4
2026-11-20,106,790.0,10.41,1041,384,800.41,810.82,842.05,11.6,0.94,0.235,1080,13.8,31.5,17.8
2026-08-14,8,790.0,0.04,4,100000,790.04,790.08,790.2,10.2,2.96,0.004,712,0.0,0.0,0.2
2026-12-31,147,790.0,16.58,1658,241,806.58,823.16,872.9,12.5,0.86,0.292,1377,8.3,37.3,14.8
2027-06-17,315,790.0,43.9,4390,91,833.9,877.8,1009.5,16.3,0.75,0.43,3862,1.4,83.9,15.1
2026-09-30,55,790.0,2.85,285,1403,792.85,795.7,804.25,10.6,1.2,0.113,1259,8.8,13.1,11.0
2028-06-16,680,790.0,90.5,9050,44,880.5,971.0,1242.5,22.8,0.7,0.544,770,,,
2026-08-31,25,790.0,0.4,40,10000,790.4,790.8,792.0,10.2,1.71,0.029,1909,3.9,5.3,3.9
2027-03-19,225,790.0,29.76,2976,134,819.76,849.52,938.8,14.3,0.79,0.373,5621,7.9,39.7,14.6
2027-12-17,498,790.0,69.44,6944,57,859.44,928.88,1137.2,19.9,0.72,0.5,2187,0.0,91.2,0.0
2027-03-31,237,790.0,31.75,3175,125,821.75,853.5,948.75,14.6,0.78,0.38,1449,7.5,40.3,14.9
2026-10-16,71,790.0,4.97,497,804,794.97,799.94,814.85,10.9,1.08,0.158,891,12.8,18.1,14.8
2026-08-21,15,790.0,0.11,11,36363,790.11,790.22,790.55,10.2,2.18,0.01,6551,0.6,1.4,0.8
2026-09-18,43,790.0,1.75,175,2285,791.75,793.5,798.75,10.4,1.33,0.083,34225,8.0,9.9,8.9
2028-01-21,533,790.0,73.46,7346,54,863.46,936.92,1157.3,20.4,0.71,0.507,831,0.0,93.5,0.0
2027-02-19,197,790.0,24.79,2479,161,814.79,839.58,913.95,13.6,0.8,0.347,1057,9.1,37.2,14.0
2027-01-15,162,790.0,19.07,1907,209,809.07,828.14,885.35,12.8,0.84,0.31,3167,8.2,36.6,13.1
2026-09-04,29,794.0,0.58,58,6896,794.58,795.16,796.9,10.8,1.67,0.037,709,5.4,6.4,5.4
2026-08-31,25,795.0,0.32,32,12500,795.32,795.64,796.6,10.9,1.82,0.023,575,3.5,4.3,3.7
2026-09-18,43,795.0,1.44,144,2777,796.44,797.88,802.2,11.1,1.41,0.07,2586,7.0,8.7,8.0
2026-12-18,134,795.0,13.5,1350,296,808.5,822.0,862.5,12.8,0.91,0.261,5085,6.9,36.8,14.7
2027-06-17,315,795.0,42.03,4203,95,837.03,879.06,1005.15,16.7,0.77,0.418,1676,1.1,79.9,15.1
2027-09-17,407,795.0,55.77,5577,71,850.77,906.54,1073.85,18.7,0.75,0.459,1078,18.8,77.0,24.9
2026-12-31,147,795.0,15.25,1525,262,810.25,825.5,871.25,13.0,0.89,0.275,1024,7.3,35.1,13.3
2026-08-28,22,795.0,0.26,26,15384,795.26,795.52,796.3,10.9,1.93,0.02,569,2.3,3.3,2.7
2026-08-21,15,795.0,0.1,10,40000,795.1,795.2,795.5,10.9,2.33,0.009,1752,0.4,0.6,0.6
2027-01-15,162,795.0,17.65,1765,226,812.65,830.3,883.25,13.3,0.87,0.294,1699,8.0,35.3,11.9
2028-12-15,862,795.0,109.0,10900,36,904.0,1013.0,1340.0,26.1,0.7,0.573,534,,,
2026-10-16,71,795.0,4.31,431,928,799.31,803.62,816.55,11.5,1.14,0.141,3649,11.3,15.7,13.2
2027-03-19,225,795.0,28.09,2809,142,823.09,851.18,935.45,14.8,0.81,0.359,4687,7.3,36.7,14.3
2028-06-16,680,795.0,88.5,8850,45,883.5,972.0,1237.5,23.2,0.71,0.536,2341,,,
2026-11-20,106,795.0,9.38,938,426,804.38,813.76,841.9,12.2,0.98,0.217,637,12.1,29.9,17.3
2028-01-21,533,800.0,69.0,6900,57,869.0,938.0,1145.0,21.2,0.73,0.489,5510,0.0,93.5,0.0
2026-08-31,25,800.0,0.26,26,15384,800.26,800.52,801.3,11.6,1.93,0.019,7096,2.9,3.9,3.3
2027-01-15,162,800.0,16.36,1636,244,816.36,832.72,881.8,13.9,0.9,0.278,12429,7.5,32.2,10.6
2027-12-17,498,800.0,65.04,6504,61,865.04,930.08,1125.2,20.6,0.74,0.481,6123,0.0,90.5,0.0
2027-03-19,225,800.0,26.52,2652,150,826.52,853.04,932.6,15.3,0.84,0.345,7931,6.1,36.2,13.4
2026-10-16,71,800.0,3.73,373,1072,803.73,807.46,818.65,12.1,1.19,0.126,14553,10.2,14.8,12.6
2026-08-14,8,800.0,0.04,4,100000,800.04,800.08,800.2,11.6,3.34,0.003,1012,0.0,0.0,0.0
2028-12-15,862,800.0,107.0,10700,37,907.0,1014.0,1335.0,26.5,0.71,0.566,3314,,,
2027-09-17,407,800.0,53.68,5368,74,853.68,907.36,1068.4,19.1,0.76,0.449,1386,17.8,76.1,22.5
2026-12-18,134,800.0,12.34,1234,324,812.34,824.68,861.7,13.3,0.95,0.244,30355,6.6,34.3,14.2
2028-06-16,680,800.0,86.5,8650,46,886.5,973.0,1232.5,23.6,0.72,0.529,2476,,,
2026-09-30,55,800.0,2.02,202,1980,802.02,804.04,810.1,11.9,1.34,0.085,2249,7.1,11.6,9.0
2026-09-18,43,800.0,1.18,118,3389,801.18,802.36,805.9,11.7,1.49,0.059,41543,6.8,8.5,7.2
2026-11-20,106,800.0,8.42,842,475,808.42,816.84,842.1,12.8,1.03,0.2,3242,11.2,27.6,16.4
2026-12-31,147,800.0,14.01,1401,285,814.01,828.02,870.05,13.5,0.92,0.259,9033,7.0,31.8,12.5
2026-08-21,15,800.0,0.08,8,50000,800.08,800.16,800.4,11.6,2.47,0.007,12586,0.2,0.4,0.4
2026-08-28,22,800.0,0.23,23,17391,800.23,800.46,801.15,11.6,2.05,0.017,588,1.8,2.9,2.0
2027-03-31,237,800.0,28.03,2803,142,828.03,856.06,940.15,15.5,0.83,0.352,1794,6.9,36.1,13.4
2027-06-17,315,800.0,40.22,4022,99,840.22,880.44,1001.1,17.2,0.79,0.406,19970,1.1,77.4,15.1
2026-08-21,15,805.0,0.08,8,50000,805.08,805.16,805.4,12.3,2.61,0.006,3451,0.2,0.2,0.2
2027-03-31,237,805.0,26.88,2688,148,831.88,858.76,939.4,16.0,0.85,0.339,588,6.6,33.4,12.5
2026-08-28,22,805.0,0.2,20,20000,805.2,805.4,806.0,12.3,2.16,0.014,644,1.4,2.0,1.4
2028-06-16,680,805.0,84.0,8400,47,889.0,973.0,1225.0,24.0,0.73,0.521,730,,,
2027-01-15,162,805.0,15.14,1514,264,820.14,835.28,880.7,14.4,0.93,0.263,973,7.2,29.4,9.5
2026-12-18,134,805.0,11.3,1130,353,816.3,827.6,861.5,13.8,0.99,0.228,3206,6.4,33.1,13.5
2026-11-20,106,805.0,7.57,757,528,812.57,820.14,842.85,13.3,1.07,0.184,1317,10.0,25.9,15.4
2026-09-18,43,805.0,0.99,99,4040,805.99,806.98,809.95,12.4,1.57,0.05,29810,6.1,8.2,6.6
2027-03-19,225,805.0,25.0,2500,160,830.0,855.0,930.0,15.8,0.86,0.331,17603,6.1,33.8,12.5
2027-06-17,315,805.0,38.46,3846,104,843.46,881.92,997.3,17.6,0.81,0.395,3413,1.1,72.8,14.3
2026-10-16,71,805.0,3.23,323,1238,808.23,811.46,821.15,12.7,1.25,0.111,694,8.4,14.6,11.7
2027-03-19,225,810.0,23.55,2355,169,833.55,857.1,927.75,16.3,0.89,0.318,6420,6.1,32.4,12.2
2027-01-15,162,810.0,13.99,1399,285,823.99,837.98,879.95,14.9,0.96,0.248,3660,5.9,26.3,8.8
2026-08-28,22,810.0,0.17,17,23529,810.17,810.34,810.85,13.0,2.28,0.012,713,0.8,1.6,1.0
2027-03-31,237,810.0,24.91,2491,160,834.91,859.82,934.55,16.4,0.87,0.326,2211,5.7,31.6,12.5
2026-08-31,25,810.0,0.19,19,21052,810.19,810.38,810.95,13.0,2.15,0.013,747,1.9,2.9,1.9
2026-12-31,147,810.0,11.82,1182,338,821.82,833.64,869.1,14.6,0.99,0.228,1561,6.3,26.1,10.3
2028-06-16,680,810.0,82.0,8200,48,892.0,974.0,1220.0,24.4,0.74,0.513,1138,,,
2026-09-18,43,810.0,0.82,82,4878,810.82,811.64,814.1,13.1,1.65,0.043,8023,5.5,7.0,5.5
2026-10-16,71,810.0,2.81,281,1423,812.81,815.62,824.05,13.4,1.31,0.099,1159,7.5,13.7,9.9
2026-08-21,15,810.0,0.07,7,57142,810.07,810.14,810.35,13.0,2.75,0.006,6754,0.0,0.2,0.0
2028-01-21,533,810.0,65.0,6500,61,875.0,940.0,1135.0,22.0,0.76,0.471,873,0.0,92.7,0.0
2027-12-17,498,810.0,61.09,6109,65,871.09,932.18,1115.45,21.5,0.77,0.463,691,0.0,86.5,0.0
2026-12-18,134,810.0,10.32,1032,387,820.32,830.64,861.6,14.4,1.03,0.213,16592,6.1,31.1,12.7
2027-09-17,407,810.0,49.77,4977,80,859.77,909.54,1058.85,19.9,0.79,0.428,868,15.5,74.2,20.7
2027-06-17,315,810.0,36.74,3674,108,846.74,883.48,993.7,18.1,0.83,0.383,2718,1.1,71.3,13.3
2027-09-17,407,815.0,48.25,4825,82,863.25,911.5,1056.25,20.4,0.81,0.418,535,13.6,73.7,20.2
2027-01-15,162,815.0,12.93,1293,309,827.93,840.86,879.65,15.5,1.0,0.234,886,5.4,24.7,7.7
2026-09-18,43,815.0,0.68,68,5882,815.68,816.36,818.4,13.8,1.73,0.036,3129,5.1,6.8,5.3
2026-08-28,22,815.0,0.15,15,26666,815.15,815.3,815.75,13.7,2.39,0.01,512,0.8,1.2,0.8
2026-08-31,25,815.0,0.17,17,23529,815.17,815.34,815.85,13.7,2.26,0.011,810,1.4,2.3,1.4
2027-06-17,315,815.0,35.11,3511,113,850.11,885.22,990.55,18.6,0.85,0.371,4660,1.1,65.9,11.8
2026-09-30,55,815.0,1.23,123,3252,816.23,817.46,821.15,13.8,1.55,0.055,720,5.6,8.4,6.7
2026-12-18,134,815.0,9.41,941,425,824.41,833.82,862.05,15.0,1.06,0.199,7766,4.9,26.5,11.3
2026-08-21,15,815.0,0.06,6,66666,815.06,815.12,815.3,13.7,2.88,0.005,1146,0.0,0.0,0.0
2027-03-19,225,815.0,22.19,2219,180,837.19,859.38,925.95,16.8,0.91,0.305,4449,5.0,31.5,12.2
2026-10-16,71,815.0,2.42,242,1652,817.42,819.84,827.1,14.0,1.37,0.087,1000,7.3,13.5,9.1
2026-09-30,55,816.0,1.2,120,3333,817.2,818.4,822.0,14.0,1.56,0.053,1400,5.6,8.2,6.7
2027-01-15,162,820.0,11.93,1193,335,831.93,843.86,879.65,16.0,1.03,0.22,3404,4.6,23.2,5.9
2027-03-19,225,820.0,20.89,2089,191,840.89,861.78,924.45,17.3,0.94,0.292,2328,4.7,28.3,12.2
2026-08-21,15,820.0,0.06,6,66666,820.06,820.12,820.3,14.4,3.02,0.004,4221,0.0,0.0,0.0
2026-09-30,55,820.0,1.05,105,3809,821.05,822.1,825.25,14.5,1.62,0.048,6234,5.6,7.5,6.2
2027-06-17,315,820.0,33.54,3354,119,853.54,887.08,987.7,19.0,0.87,0.36,12981,1.1,59.5,11.5
2026-10-16,71,820.0,2.09,209,1913,822.09,824.18,830.45,14.7,1.43,0.077,3386,7.1,13.0,8.2
2027-12-17,498,820.0,57.33,5733,69,877.33,934.66,1106.65,22.4,0.8,0.444,2377,0.0,86.5,0.0
2026-09-18,43,820.0,0.58,58,6896,820.58,821.16,822.9,14.4,1.81,0.031,16510,4.4,6.1,4.7
2026-12-18,134,820.0,8.58,858,466,828.58,837.16,862.9,15.6,1.1,0.185,19187,3.7,23.0,9.3
2026-08-31,25,825.0,0.14,14,28571,825.14,825.28,825.7,15.1,2.47,0.008,2845,0.6,1.4,0.8
2027-12-17,498,825.0,55.82,5582,71,880.82,936.64,1104.1,22.8,0.81,0.435,739,0.0,85.8,0.0
2026-09-18,43,825.0,0.5,50,8000,825.5,826.0,827.5,15.1,1.89,0.027,1994,3.4,6.1,4.2
2026-08-21,15,825.0,0.06,6,66666,825.06,825.12,825.3,15.1,3.16,0.004,10607,0.0,0.0,0.0
2026-12-18,134,825.0,7.82,782,511,832.82,840.64,864.1,16.2,1.14,0.172,4643,3.2,20.3,7.8
